com_id,com_nam,lin_ima,com_ele_sta,com_ele_dis,rep_typ,rec_dat,cov_sta_dat,cov_end_dat,qua_con,sem_ann_con
"C00336644","AMERICAN SUCCESS POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_10990199869+0","","","QUARTERLY YEAR END / SEMI-ANN","2010-01-29","2009-07-01","2009-12-31",,
"C00336644","AMERICAN SUCCESS POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29934387611+0","","","JULY QUARTERLY / SEMI-ANNUAL","2009-07-31","2009-01-01","2009-06-30",,
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_201601299004728447+0","","","MONTHLY SEMI-ANNUAL (YE)","2016-01-29","2015-12-01","2015-12-31",,"$41,450.00"
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_201510209003154478+0","","","AUGUST MONTHLY","2015-10-20","2015-07-01","2015-07-31","$26,950.00",
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_201508209000870809+0","","","AUGUST MONTHLY","2015-08-20","2015-07-01","2015-07-31","$25,250.00",
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_15950389235+0","","","MONTHLY SEMI-ANNUAL (YE)","2015-01-30","2014-11-25","2014-12-31",,"$52,700.00"
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_14950054964+0","","","AUGUST MONTHLY","2014-08-20","2014-07-01","2014-07-31","$41,200.00",
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_14960308075+0","DC","","MONTHLY SEMI-ANNUAL (YE)","2014-01-31","2013-12-01","2013-12-31",,"$56,350.00"
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_13941464068+0","DC","","AUGUST MONTHLY","2013-08-20","2013-07-01","2013-07-31","$43,350.00",
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_12950319561+0","DC","","MONTHLY SEMI-ANNUAL (YE)","2012-01-31","2011-12-01","2011-12-30",,"$49,900.00"
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_11952874320+0","DC","","NOVEMBER MONTHLY","2011-11-17","2011-10-01","2011-10-31","$40,500.00",
"C00516047","ANGUS KING FOR US SENATE CAMPAIGN","http://docquery.fec.gov/cgi-bin/fecimg/?_12020564471+0","","","JULY QUARTERLY / SEMI-ANNUAL","2012-07-14","2012-05-24","2012-06-30","$18,000.00","$18,000.00"
"C00473751","ANN MARIE BUERKLE FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_12971424161+0","NY","24","QUARTERLY SEMI-ANNUAL (MY)","2012-07-13","2012-06-07","2012-06-30","$2,245.00","$42,878.00"
"C00473751","ANN MARIE BUERKLE FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_12952120823+0","NY","25","PRE-PRIMARY","2012-06-14","2012-04-01","2012-06-06","$36,274.00",
"C00410118","BACHMANN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_10991387329+0","MN","06","OCTOBER QUARTERLY","2010-10-15","2010-07-22","2010-09-30","$23,825.00",
"C00260547","BACHUS FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_11952501157+0","AL","06","JULY QUARTERLY / SEMI-ANNUAL","2011-10-03","2011-01-01","2011-06-30","$28,150.00","$28,150.00"
"C00260547","BACHUS FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_11930657732+0","AL","06","APRIL QUARTERLY","2011-04-14","2011-01-01","2011-03-31","$28,150.00",
"C00128868","BARNEY FRANK FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_11990170276+0","MA","04","QUARTERLY SEMI-ANNUAL (YE)","2011-01-31","2010-11-23","2010-12-31",,"$51,175.00"
"C00128868","BARNEY FRANK FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_10931451607+0","MA","04","OCTOBER QUARTERLY","2010-10-15","2010-08-26","2010-09-30","$43,675.00",
"C00128868","BARNEY FRANK FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_10930364969+0","MA","04","QUARTERLY SEMI-ANNUAL (YE)","2010-02-25","2009-10-01","2009-12-31",,"$68,800.00"
"C00128868","BARNEY FRANK FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29992942606+0","MA","04","OCTOBER QUARTERLY","2009-10-15","2009-07-01","2009-09-30","$68,800.00",
"C00128868","BARNEY FRANK FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29992506311+0","MA","04","JULY QUARTERLY / SEMI-ANNUAL","2009-07-24","2009-04-01","2009-06-30","$87,225.00","$133,575.00"
"C00128868","BARNEY FRANK FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29992439888+0","MA","04","APRIL QUARTERLY","2009-07-15","2009-04-01","2009-06-30","$87,225.00",
"C00367284","BATTLES FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_12954295609+0","","","OCTOBER QUARTERLY","2012-10-08","2012-07-01","2012-09-30",,
"C00550434","BELLOWS FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_15020117079+0","ME","00","QUARTERLY YEAR END / SEMI-ANN","2015-03-13","2014-11-25","2014-12-31",,"$25,920.00"
"C00550434","BELLOWS FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_14020843246+0","ME","00","OCTOBER QUARTERLY","2014-10-15","2014-07-01","2014-09-30","$21,655.00",
"C00550434","BELLOWS FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_14020490428+0","ME","00","JULY QUARTERLY","2014-07-15","2014-05-22","2014-06-30","$7,358.00","$40,067.00"
"C00411587","BEN CARDIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_29020221457+0","","","JULY QUARTERLY / SEMI-ANNUAL","2009-07-15","2009-04-01","2009-06-30","$22,500.00","$22,500.00"
"C00458398","BENNET FOR COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?_201602020200036447+0","CO","00","YEAR-END","2016-01-29","2015-10-01","2015-12-31","$62,935.00","$70,390.00"
"C00458398","BENNET FOR COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?_10020063707+0","","","QUARTERLY YEAR END / SEMI-ANN","2010-01-28","2009-10-01","2009-12-31","$100,600.00","$162,808.00"
"C00458398","BENNET FOR COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?_29020382015+0","","","OCTOBER QUARTERLY","2009-10-14","2009-07-01","2009-09-30","$52,608.00",
"C00285098","BIG TENT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_10990202227+0","","","QUARTERLY YEAR END / SEMI-ANN","2010-01-29","2009-07-01","2009-12-31",,
"C00285098","BIG TENT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_29992517432+0","","","JULY QUARTERLY / SEMI-ANNUAL","2009-07-28","2009-01-01","2009-06-30",,
"C00435099","BILL FOSTER FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_10990126176+0","IL","14","PRE-PRIMARY","2010-01-21","2009-10-01","2010-01-13","$38,400.00",
"C00488312","BLACK PAC; THE","http://docquery.fec.gov/cgi-bin/fecimg/?_11030563117+0","","","QUARTERLY YEAR END / SEMI-ANN","2011-01-27","2010-10-01","2010-12-31",,
"C00488312","BLACK PAC; THE","http://docquery.fec.gov/cgi-bin/fecimg/?_10030492884+0","","","OCTOBER QUARTERLY","2010-11-19","2010-07-01","2010-09-30",,
"C00431056","BOB CASEY FOR SENATE INC","http://docquery.fec.gov/cgi-bin/fecimg/?_10020450266+0","PA","00","JULY QUARTERLY / SEMI-ANNUAL","2010-07-15","2010-04-01","2010-06-30","$20,350.00","$20,350.00"
"C00431056","BOB CASEY FOR SENATE INC","http://docquery.fec.gov/cgi-bin/fecimg/?_10020051805+0","","","QUARTERLY YEAR END / SEMI-ANN","2010-01-29","2009-10-01","2009-12-31","$21,200.00","$30,600.00"
"C00257956","BOB GOODLATTE FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_11932136209+0","","06","","2011-07-30","2011-01-01","2011-06-30","$41,500.00","$41,500.00"
"C00257956","BOB GOODLATTE FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_11932131188+0","","06","","2011-07-29","2011-01-01","2011-06-30","$25,000.00","$25,000.00"
"C00498089","BONGINO FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_13020113279+0","MD","00","QUARTERLY YEAR END / SEMI-ANN","2013-02-26","2012-10-01","2012-12-31","$35,005.00","$162,088.00"
"C00498089","BONGINO FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_12020782989+0","","","OCTOBER QUARTERLY","2012-10-15","2012-07-01","2012-09-30","$127,083.00",
"C00258244","BUCK MCKEON FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_13941118186+0","","","JULY QUARTERLY / SEMI-ANNUAL","2013-07-13","2011-04-01","2011-06-30","$25,000.00","$25,000.00"
"C00258244","BUCK MCKEON FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_13941118445+0","","","QUARTERLY YEAR END / SEMI-ANN","2013-07-13","2011-07-01","2011-12-31","$34,000.00","$34,000.00"
"C00258244","BUCK MCKEON FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_12951888709+0","","","JULY QUARTERLY / SEMI-ANNUAL","2012-05-23","2011-04-01","2011-06-30","$25,000.00","$25,000.00"
"C00258244","BUCK MCKEON FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_12951888962+0","","","QUARTERLY YEAR END / SEMI-ANN","2012-05-23","2011-07-01","2011-12-31","$34,000.00","$34,000.00"
"C00258244","BUCK MCKEON FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_12970196845+0","","","QUARTERLY YEAR END / SEMI-ANN","2012-01-30","2011-07-01","2011-12-31","$34,000.00","$34,000.00"
"C00258244","BUCK MCKEON FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_12950270998+0","","","JULY QUARTERLY / SEMI-ANNUAL","2012-01-30","2011-04-01","2011-06-30","$25,000.00","$25,000.00"
"C00258244","BUCK MCKEON FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_11931800871+0","","","JULY QUARTERLY / SEMI-ANNUAL","2011-07-12","2011-04-01","2011-06-30","$20,000.00","$20,000.00"
"C00258244","BUCK MCKEON FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_10930951073+0","CA","25","JULY QUARTERLY / SEMI-ANNUAL","2010-07-14","2010-05-20","2010-06-30",,"$39,750.00"
"C00258244","BUCK MCKEON FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_10990850314+0","CA","25","PRE-PRIMARY","2010-07-13","2010-04-01","2010-05-19","$39,750.00","$39,750.00"
"C00366781","BUCKEYE LIBERTY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_10930109587+0","","","QUARTERLY YEAR END / SEMI-ANN","2010-01-26","2009-07-01","2009-12-31",,
"C00366781","BUCKEYE LIBERTY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_29934361081+0","","","JULY QUARTERLY / SEMI-ANNUAL","2009-07-29","2009-01-01","2009-06-30",,
"C00420174","CANTOR VICTORY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_10990821819+0","VA","07","QUARTERLY MID-YEAR / SEMI-ANN","2010-06-30","2010-01-01","2010-06-30","$20,000.00","$20,000.00"
"C00506022","CARMONA FOR ARIZONA","http://docquery.fec.gov/cgi-bin/fecimg/?_13020140682+0","AZ","00","QUARTERLY YEAR END / SEMI-ANN","2013-03-13","2012-11-27","2012-12-31",,"$133,365.00"
"C00506022","CARMONA FOR ARIZONA","http://docquery.fec.gov/cgi-bin/fecimg/?_12021291892+0","AZ","00","POST-GENERAL","2012-12-06","2012-10-18","2012-11-26","$20,425.00",
"C00506022","CARMONA FOR ARIZONA","http://docquery.fec.gov/cgi-bin/fecimg/?_12021070001+0","AZ","00","PRE-GENERAL","2012-10-22","2012-10-01","2012-10-17","$21,683.00",
"C00506022","CARMONA FOR ARIZONA","http://docquery.fec.gov/cgi-bin/fecimg/?_12020891295+0","AZ","00","PRE-PRIMARY","2012-10-18","2012-07-01","2012-08-08",,"$26,233.00"
"C00506022","CARMONA FOR ARIZONA","http://docquery.fec.gov/cgi-bin/fecimg/?_12020870001+0","AZ","00","OCTOBER QUARTERLY","2012-10-15","2012-08-09","2012-09-30","$57,792.00",
"C00349217","CARPER FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_12020100720+0","DE","00","QUARTERLY YEAR END / SEMI-ANN","2012-01-31","2011-10-01","2011-12-31","$21,700.00","$21,700.00"
"C00349217","CARPER FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_11020260123+0","DE","00","JULY QUARTERLY / SEMI-ANNUAL","2011-07-15","2011-04-01","2011-06-30",,"$17,200.00"
"C00349217","CARPER FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_10020052070+0","","","QUARTERLY YEAR END / SEMI-ANN","2010-01-29","2009-10-01","2009-12-31","$21,100.00","$21,100.00"
"C00254938","CASTLE CAMPAIGN FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_10020470835+0","DE","00","JULY QUARTERLY / SEMI-ANNUAL","2010-07-13","2010-04-01","2010-06-30","$20,300.00","$20,300.00"
"C00575548","CATHERINE CORTEZ MASTO FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201602020200036315+0","NV","00","YEAR-END","2016-01-29","2015-10-01","2015-12-31","$44,950.00","$54,870.00"
"C00394866","CHARLES BOUSTANY JR. MD FOR CONGRESS, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_13961062862+0","LA","07","QUARTERLY SEMI-ANNUAL (YE)","2013-02-20","2012-10-01","2012-12-31","$13,850.00","$66,825.00"
"C00394866","CHARLES BOUSTANY JR. MD FOR CONGRESS, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_12954401904+0","LA","07","OCTOBER QUARTERLY","2012-10-15","2012-07-01","2012-09-30","$52,975.00",
"C00462135","CHARLIE CRIST FOR US SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_10020502170+0","FL","00","QUARTERLY SEMI-ANNUAL (MY)","2010-07-15","","2010-06-30",,"$34,450.00"
"C00462135","CHARLIE CRIST FOR US SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_10020260556+0","","","APRIL QUARTERLY","2010-04-15","2010-01-01","2010-03-31","$34,450.00",
"C00462135","CHARLIE CRIST FOR US SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_10020112708+0","","","QUARTERLY YEAR END / SEMI-ANN","2010-01-29","2009-10-01","2009-12-31","$4,800.00","$96,524.00"
"C00462135","CHARLIE CRIST FOR US SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_29020390001+0","","","OCTOBER QUARTERLY","2009-10-15","2009-07-01","2009-09-30","$91,724.00",
"C00462135","CHARLIE CRIST FOR US SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_29020270001+0","","","JULY QUARTERLY / SEMI-ANNUAL","2009-07-15","2009-04-01","2009-06-30","$189,950.00","$189,950.00"
"C00240465","CHET EDWARDS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_29992454477+0","TX","17","JULY QUARTERLY / SEMI-ANNUAL","2009-07-15","2009-04-01","2009-06-30","$52,400.00","$52,400.00"
"C00580399","CHRIS CHRISTIE FOR PRESIDENT, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_201602229009618563+0","","","MONTHLY YEAR END / SEMI-ANNUAL","2016-02-22","2015-10-01","2015-12-31",,"$23,400.00"
"C00580399","CHRIS CHRISTIE FOR PRESIDENT, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_201510159003074554+0","","","OCTOBER QUARTERLY","2015-10-15","2015-07-01","2015-09-30","$23,400.00","$23,400.00"
"C00409888","COBURN FOR SENATE 2010","http://docquery.fec.gov/cgi-bin/fecimg/?_10020081728+0","","","QUARTERLY YEAR END / SEMI-ANN","2010-01-27","2009-10-01","2009-12-31","$50,000.00","$50,000.00"
"C00484188","COMMITTEE FOR A BETTER FUTURE","http://docquery.fec.gov/cgi-bin/fecimg/?_10020682306+0","","","OCTOBER QUARTERLY","2010-10-15","2010-07-01","2010-09-30","$351,925.00",
"C00484188","COMMITTEE FOR A BETTER FUTURE","http://docquery.fec.gov/cgi-bin/fecimg/?_10020433399+0","","","JULY QUARTERLY / SEMI-ANNUAL","2010-07-15","2010-04-01","2010-06-30","$82,850.00","$82,850.00"
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_13960582688+0","NY","05","QUARTERLY SEMI-ANNUAL (YE)","2013-01-31","2012-11-27","2012-12-31",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_12940858151+0","NY","05","POST-GENERAL","2012-12-06","2012-10-01","2012-11-26",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_12954359306+0","NY","05","OCTOBER QUARTERLY","2012-10-15","2012-07-01","2012-09-30",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_12952449989+0","NY","05","QUARTERLY SEMI-ANNUAL (MY)","2012-07-15","2012-04-01","2012-06-30",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_12951428272+0","NY","05","APRIL QUARTERLY","2012-04-15","2012-01-01","2012-03-31",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_12970203929+0","NY","05","QUARTERLY SEMI-ANNUAL (YE)","2012-01-31","2011-10-01","2011-12-31",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_11952551636+0","NY","05","OCTOBER QUARTERLY","2011-10-12","2011-07-01","2011-09-30",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_11931839084+0","NY","05","QUARTERLY SEMI-ANNUAL (MY)","2011-07-15","2011-04-01","2011-06-30",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_11930668568+0","NY","05","APRIL QUARTERLY","2011-04-15","2011-01-01","2011-03-31",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_11990121946+0","NY","05","QUARTERLY SEMI-ANNUAL (YE)","2011-01-31","2010-11-23","2010-12-31",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_10992296626+0","NY","05","POST-GENERAL","2010-12-02","2010-10-14","2010-11-22",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_10931735635+0","NY","05","PRE-GENERAL","2010-10-21","2010-10-01","2010-10-13",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_10931451669+0","NY","05","OCTOBER QUARTERLY","2010-10-15","2010-08-26","2010-09-30",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_10931220516+0","NY","05","PRE-PRIMARY","2010-09-01","2010-07-01","2010-08-25",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_10930991313+0","NY","05","QUARTERLY SEMI-ANNUAL (MY)","2010-07-15","2010-04-01","2010-06-30",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_10990565409+0","NY","05","APRIL QUARTERLY","2010-04-15","2010-01-01","2010-03-31",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_10990241404+0","NY","05","QUARTERLY SEMI-ANNUAL (YE)","2010-01-31","2009-10-01","2009-12-31",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_29934900344+0","NY","05","OCTOBER QUARTERLY","2009-10-15","2009-07-01","2009-09-30",,
"C00165241","COMMITTEE TO ELECT GARY L. ACKERMAN, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_29992435948+0","NY","05","QUARTERLY SEMI-ANNUAL (MY)","2009-07-14","2009-04-01","2009-06-30",,
"C00529982","COMMITTEE TO ELECT JONATHAN FRANK BLAS DIAZ","http://docquery.fec.gov/cgi-bin/fecimg/?_12030890376+0","","","PRE-GENERAL","2012-09-18","2012-08-01","2012-11-30",,
"C00117721","CONGRESSIONAL MAJORITY COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_14952539354+0","","","PRE-GENERAL","2014-10-23","2014-10-01","2014-10-15",,
"C00013128","CONGRESSMAN WAXMAN CAMPAIGN COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_10990910119+0","CA","30","JULY QUARTERLY / SEMI-ANNUAL","2010-07-15","2010-01-01","2010-06-30","$147,743.00","$147,743.00"
"C00013128","CONGRESSMAN WAXMAN CAMPAIGN COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_10930272259+0","CA","30","QUARTERLY MID-YEAR / SEMI-ANN","2010-01-30","2009-07-01","2009-12-31","$65,000.00","$130,000.00"
"C00013128","CONGRESSMAN WAXMAN CAMPAIGN COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_29934305061+0","CA","30","JULY QUARTERLY / SEMI-ANNUAL","2009-07-16","2009-04-01","2009-06-30","$148,045.00","$148,045.00"
"C00460766","CONWAY FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_29020263711+0","","","JULY QUARTERLY / SEMI-ANNUAL","2009-07-15","2009-04-01","2009-06-30","$29,100.00","$29,100.00"
"C00409797","CONYERS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_11990128340+0","MI","14","QUARTERLY SEMI-ANNUAL (YE)","2011-01-31","2010-11-23","2010-12-31",,"$77,100.00"
"C00409797","CONYERS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_10992303016+0","MI","14","POST-GENERAL","2010-12-02","2010-10-14","2010-11-22","$75,850.00",
"C00409797","CONYERS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_10990910614+0","MI","14","JULY QUARTERLY / SEMI-ANNUAL","2010-07-15","2010-04-01","2010-06-30","$50,700.00","$50,700.00"
"C00409797","CONYERS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_10930299486+0","MI","14","QUARTERLY YEAR END / SEMI-ANN","2010-01-31","2009-10-01","2009-12-31","$45,200.00","$74,800.00"
"C00409797","CONYERS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_29934915539+0","MI","14","OCTOBER QUARTERLY","2009-10-15","2009-07-01","2009-09-30","$29,600.00",
"C00409797","CONYERS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_29934271925+0","MI","14","JULY QUARTERLY / SEMI-ANNUAL","2009-07-15","2009-04-01","2009-06-30","$45,882.00","$45,882.00"
"C00540500","CORY BOOKER FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_14020050793+0","","","QUARTERLY YEAR END / SEMI-ANN","2014-01-31","2013-11-06","2013-12-31",,"$27,992.00"
"C00504704","CRAMER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_12952469651+0","","","JULY QUARTERLY / SEMI-ANNUAL","2012-07-15","2012-05-24","2012-06-30","$41,178.00","$41,463.00"
"C00504704","CRAMER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_12951933756+0","ND","01","PRE-PRIMARY","2012-05-31","2012-04-01","2012-05-23",,
"C00338954","CROWLEY FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_10930387036+0","NY","07","QUARTERLY SEMI-ANNUAL (YE)","2010-03-03","2009-10-01","2009-12-31",,"$23,000.00"
"C00338954","CROWLEY FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_29934907013+0","NY","07","OCTOBER QUARTERLY","2009-10-15","2009-07-01","2009-09-30","$23,000.00",
